time,total_demand,heating_demand,cooling_demand,humidity,radiation_global_horizontal,temperature,wind_speed_2m,bait
2024-03-09 05:30:00,2.07268234286699,2.07268234286699,0.0,84,0,3.3,9.4,7.303921754029963
2024-03-09 05:45:00,2.0695107967695403,2.0695107967695403,0.0,84,1,3.4,9.4,7.314167858987777
2024-03-09 06:00:00,2.152408121482173,2.152408121482173,0.0,83,0,3.5,9.4,7.324248006964622
2024-03-09 06:15:00,2.1492128824875145,2.1492128824875145,0.0,83,1,3.5,9.4,7.334158127110483
2024-03-09 06:30:00,2.146073776706807,2.146073776706807,0.0,82,10,3.5,9.4,7.343894148575352
2024-03-09 06:45:00,2.1429921166709285,2.1429921166709285,0.0,82,25,3.6,9.4,7.353452000509216
2024-03-09 07:00:00,2.193487573929614,2.193487573929614,0.0,81,43,3.8,9.4,7.362827612062064
2024-03-09 07:15:00,2.190450645718189,2.190450645718189,0.0,80,74,4.0,9.4,7.372016912383885
2024-03-09 07:30:00,2.187476635976354,2.187476635976354,0.0,78,104,4.2,9.4,7.381015830624667
2024-03-09 07:45:00,2.1845668900599917,2.1845668900599917,0.0,77,132,4.6,9.4,7.389820295934401
2024-03-09 08:00:00,2.189133171049472,2.189133171049472,0.0,75,155,4.9,9.4,7.398426237463072
2024-03-09 08:15:00,2.186346555902374,2.186346555902374,0.0,73,181,5.3,9.5,7.406829584360672
2024-03-09 08:30:00,2.1836284726351307,2.1836284726351307,0.0,72,213,5.8,9.3,7.415026265777189
2024-03-09 08:45:00,2.180980271173248,2.180980271173248,0.0,70,227,6.3,9.0,7.423012210862611
2024-03-09 09:00:00,2.134664846698094,2.134664846698094,0.0,68,259,6.8,9.1,7.4307833487669255
2024-03-09 09:15:00,2.1322107422712873,2.1322107422712873,0.0,66,293,7.4,9.1,7.438335608640123
2024-03-09 09:30:00,2.1298290850119925,2.1298290850119925,0.0,64,338,7.9,9.3,7.4456649196321925
2024-03-09 09:45:00,2.127521197741618,2.127521197741618,0.0,62,385,8.6,9.7,7.45276721089312
2024-03-09 10:00:00,2.0481256404227017,2.0481256404227017,0.0,60,429,9.1,9.6,7.4596384115728975
2024-03-09 10:15:00,2.0460475531560913,2.0460475531560913,0.0,58,420,9.6,9.6,7.466274450821513
2024-03-09 10:30:00,2.044044381895647,2.044044381895647,0.0,57,443,10.1,9.6,7.472671257788953
2024-03-09 10:45:00,2.0421174014351515,2.0421174014351515,0.0,55,479,10.6,9.6,7.478824761625209
2024-03-09 11:00:00,1.9657345592337345,1.9657345592337345,0.0,54,510,11.1,9.6,7.484730891480266
2024-03-09 11:15:00,1.9640284731783737,1.9640284731783737,0.0,53,529,11.6,9.5,7.490385576504119
2024-03-09 11:30:00,1.9623994792579098,1.9623994792579098,0.0,52,529,12.1,9.8,7.49578474584675
2024-03-09 11:45:00,1.9608488056964442,1.9608488056964442,0.0,51,499,12.6,10.1,7.500924328658152
2024-03-09 12:00:00,1.8851864543502024,1.8851864543502024,0.0,51,497,12.8,10.1,7.505800254088312
2024-03-09 12:15:00,1.8838482995749861,1.8838482995749861,0.0,51,495,12.9,10.1,7.510410007347013
2024-03-09 12:30:00,1.8825863345057507,1.8825863345057507,0.0,51,491,12.9,10.1,7.514757297883218
2024-03-09 12:45:00,1.8813990306299508,1.8813990306299508,0.0,51,497,12.8,10.1,7.518847391205683
2024-03-09 13:00:00,1.8016704764492413,1.8016704764492413,0.0,55,486,12.4,11.5,7.522685552823166
2024-03-09 13:15:00,1.8006714989687522,1.8006714989687522,0.0,55,471,12.5,11.9,7.5262770482444195
2024-03-09 13:30:00,1.79973966729308,1.79973966729308,0.0,55,454,12.6,11.9,7.529627142978204
2024-03-09 13:45:00,1.7988735168165235,1.7988735168165235,0.0,55,435,12.6,11.9,7.532741102533276
2024-03-09 14:00:00,1.7419099004284635,1.7419099004284635,0.0,55,413,12.6,12.3,7.53562419241839
2024-03-09 14:15:00,1.7411938064341594,1.7411938064341594,0.0,55,390,12.6,12.6,7.5382816781423045
2024-03-09 14:30:00,1.7405370855474167,1.7405370855474167,0.0,56,364,12.6,13.0,7.540718825213774
2024-03-09 14:45:00,1.7399383189086104,1.7399383189086104,0.0,56,335,12.4,13.4,7.542940899141556
2024-03-09 15:00:00,1.7345186303862437,1.7345186303862437,0.0,57,304,12.4,13.4,7.544953165434409
2024-03-09 15:15:00,1.7340328815875037,1.7340328815875037,0.0,58,272,12.2,13.4,7.546760889601086
2024-03-09 15:30:00,1.7336006798836754,1.7336006798836754,0.0,58,240,12.1,13.3,7.548369337150346
2024-03-09 15:45:00,1.7332206103937717,1.7332206103937717,0.0,59,208,11.9,13.0,7.549783773590946
2024-03-09 16:00:00,1.8165926689938026,1.8165926689938026,0.0,60,179,11.7,12.6,7.55100946443164
2024-03-09 16:15:00,1.816299092441514,1.816299092441514,0.0,61,150,11.4,12.3,7.552051675181187
2024-03-09 16:30:00,1.8160557165062208,1.8160557165062208,0.0,63,119,11.2,11.9,7.552915671348342
2024-03-09 16:45:00,1.8158610579659271,1.8158610579659271,0.0,64,83,10.9,11.3,7.553606718441864
2024-03-09 17:00:00,1.969741330760588,1.969741330760588,0.0,66,49,10.6,10.9,7.554130081970507
2024-03-09 17:15:00,1.9696310323486717,1.9696310323486717,0.0,68,22,10.2,10.7,7.554491027443029
2024-03-09 17:30:00,1.9695687569145255,1.9695687569145255,0.0,71,4,9.8,10.7,7.554694820368184
2024-03-09 17:45:00,1.9695528954138526,1.9695528954138526,0.0,73,0,9.4,10.5,7.554746726254732
2024-03-09 18:00:00,1.9984461612312425,1.9984461612312425,0.0,75,0,9.0,10.5,7.554652010611428
2024-03-09 18:15:00,1.9985193576687774,1.9985193576687774,0.0,76,0,8.6,10.5,7.554415938947028
2024-03-09 18:30:00,1.998634750363583,1.998634750363583,0.0,77,0,8.4,10.8,7.554043776770291
2024-03-09 18:45:00,1.9987907066907378,1.9987907066907378,0.0,78,0,8.1,10.8,7.553540789589971
2024-03-09 19:00:00,1.8961198589676775,1.8961198589676775,0.0,79,0,7.9,10.7,7.552912242914825
2024-03-09 19:15:00,1.8963400966474533,1.8963400966474533,0.0,80,0,7.7,10.3,7.552163402253611
2024-03-09 19:30:00,1.8965941647617437,1.8965941647617437,0.0,82,0,7.4,9.8,7.551299533115085
2024-03-09 19:45:00,1.8968805146988204,1.8968805146988204,0.0,83,0,7.2,9.4,7.550325901008002
2024-03-09 20:00:00,1.825449917044362,1.825449917044362,0.0,84,0,7.1,9.0,7.54924777144112
2024-03-09 20:15:00,1.825783089736333,1.825783089736333,0.0,85,0,6.9,8.7,7.548070409923195
2024-03-09 20:30:00,1.8261428532859585,1.8261428532859585,0.0,86,0,6.7,8.7,7.546799081962986
2024-03-09 20:45:00,1.8265277176464694,1.8265277176464694,0.0,87,0,6.5,8.4,7.545439053069244
2024-03-09 21:00:00,1.8549948582117783,1.8549948582117783,0.0,87,0,6.3,8.4,7.543995588750732
2024-03-09 21:15:00,1.8554320672812477,1.8554320672812477,0.0,87,0,6.2,8.0,7.542473954516202
2024-03-09 21:30:00,1.8558902238736723,1.8558902238736723,0.0,87,0,6.1,7.9,7.540879415874414
2024-03-09 21:45:00,1.8563678150576721,1.8563678150576721,0.0,87,0,5.9,7.6,7.539217238334122
2024-03-09 22:00:00,1.890359787403254,1.890359787403254,0.0,87,0,5.8,7.6,7.537492687404082
2024-03-09 22:15:00,1.890880943667894,1.890880943667894,0.0,87,0,5.8,7.6,7.535711028593054
2024-03-09 22:30:00,1.8914172644392826,1.8914172644392826,0.0,87,0,5.7,8.0,7.533877527409791
2024-03-09 22:45:00,1.8919672094938602,1.8919672094938602,0.0,87,0,5.6,8.4,7.531997449363052
2024-03-09 23:00:00,1.887730884864171,1.887730884864171,0.0,87,0,5.5,8.5,7.530076059961592
2024-03-09 23:15:00,1.8883020061023692,1.8883020061023692,0.0,87,0,5.3,8.6,7.5281186247141685
2024-03-09 23:30:00,1.888882108125153,1.888882108125153,0.0,87,0,5.2,8.6,7.5261304091295385
2024-03-09 23:45:00,1.8894696546140755,1.8894696546140755,0.0,87,0,5.2,8.6,7.524116678716457
2024-03-10 00:00:00,1.9380204764935356,1.9380204764935356,0.0,87,0,5.1,8.6,7.522082698983682
2024-03-10 00:15:00,1.9386334718620748,1.9386334718620748,0.0,87,0,4.9,8.6,7.520033735439969
2024-03-10 00:30:00,1.939249374688019,1.939249374688019,0.0,87,0,4.8,8.5,7.517975053594075
2024-03-10 00:45:00,1.9398666096712647,1.9398666096712647,0.0,87,0,4.8,8.5,7.515911918954758
2024-03-10 01:00:00,1.9705104629503578,1.9705104629503578,0.0,87,0,4.7,8.5,7.513849597030772
2024-03-10 01:15:00,1.9711351554834153,1.9711351554834153,0.0,87,0,4.5,8.5,7.511793353330876
2024-03-10 01:30:00,1.9717564017590052,1.9717564017590052,0.0,88,0,4.4,8.6,7.509748453363824
2024-03-10 01:45:00,1.9723726021009793,1.9723726021009793,0.0,88,0,4.2,8.7,7.507720162638374
2024-03-10 02:00:00,1.9792235783098215,1.9792235783098215,0.0,88,0,4.2,8.8,7.505713746663284
2024-03-10 02:15:00,1.9798267899657636,1.9798267899657636,0.0,88,0,4.0,8.9,7.5037344709473075
2024-03-10 02:30:00,1.9804201255156417,1.9804201255156417,0.0,88,0,3.8,9.5,7.501787600999204
2024-03-10 02:45:00,1.9810019802228191,1.9810019802228191,0.0,88,0,3.8,9.7,7.499878402327728
2024-03-10 03:00:00,1.9715958462630905,1.9715958462630905,0.0,88,0,3.7,9.8,7.498012140441636
2024-03-10 03:15:00,1.9721471359328293,1.9721471359328293,0.0,88,0,3.5,9.8,7.496194080849689
2024-03-10 03:30:00,1.972682212576587,1.972682212576587,0.0,88,0,3.5,9.5,7.494429489060637
2024-03-10 03:45:00,1.9731994795357068,1.9731994795357068,0.0,87,0,3.4,9.5,7.49272363058324
2024-03-10 04:00:00,1.9745228571380422,1.9745228571380422,0.0,87,0,3.3,9.5,7.491081770926254
2024-03-10 04:15:00,1.9749999142019847,1.9749999142019847,0.0,87,0,3.2,9.8,7.489509175598436
2024-03-10 04:30:00,1.975454362152809,1.975454362152809,0.0,87,0,3.2,10.1,7.488011110108543
2024-03-10 04:45:00,1.9758846036640423,1.9758846036640423,0.0,87,0,3.1,10.5,7.48659283996533
2024-03-10 05:00:00,2.0165516046626295,2.0165516046626295,0.0,87,0,3.0,10.8,7.485259630677556
2024-03-10 05:15:00,2.0169363226117527,2.0169363226117527,0.0,87,0,3.0,10.9,7.484016747753974
2024-03-10 05:30:00,2.017291451362556,2.017291451362556,0.0,87,0,2.8,10.8,7.482869456703344
2024-03-10 05:45:00,2.017615361046536,2.017615361046536,0.0,87,0,2.8,11.0,7.481823023034421
2024-03-10 06:00:00,2.101905674398043,2.101905674398043,0.0,87,0,2.8,10.9,7.48088271225596
2024-03-10 06:15:00,2.102172937061937,2.102172937061937,0.0,87,1,2.8,10.7,7.480053789876722
2024-03-10 06:30:00,2.102402587960266,2.102402587960266,0.0,87,18,2.8,10.5,7.479341521405459
2024-03-10 06:45:00,2.102592929378102,2.102592929378102,0.0,86,37,3.0,10.3,7.47875117235093
2024-03-10 07:00:00,2.155329616074273,2.155329616074273,0.0,86,54,3.1,10.1,7.478288008221891
